Player,Squad,MP,Starts,Min,90s,Goals,Seasons,League
Marios Oikonomou,gr AEK Athens,4,4,337,3.7,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Sérgio Oliveira,pt Porto,4,1,99,1.1,1,2018-2019,UEFA
Robin Olsen,it Roma,6,6,570,6.3,0,2018-2019,UEFA
André Onana,nl Ajax,12,12,"1,080",12.0,0,2018-2019,UEFA
Henry Onyekuru,tr Galatasaray,5,3,324,3.6,0,2018-2019,UEFA
Loïs Openda,be Club Brugge,5,1,111,1.2,0,2018-2019,UEFA
Divock Origi,eng Liverpool,8,2,221,2.5,3,2018-2019,UEFA
David Ospina,it Napoli,6,6,540,6.0,0,2018-2019,UEFA
Nicolás Otamendi,eng Manchester City,5,5,400,4.4,0,2018-2019,UEFA
Otávio,pt Porto,8,6,514,5.7,2,2018-2019,UEFA
Adam Ounas,it Napoli,2,0,24,0.3,0,2018-2019,UEFA
Leandro Paredes,fr Paris S-G,2,0,37,0.4,0,2018-2019,UEFA
Daniel Parejo,es Valencia,5,5,450,5.0,0,2018-2019,UEFA
Thomas Partey,es Atlético Madrid,6,6,415,4.6,0,2018-2019,UEFA
Javier Pastore,it Roma,1,1,58,0.6,0,2018-2019,UEFA
Alan Patrick,ua Shakhtar,5,2,206,2.3,0,2018-2019,UEFA
Gabriel Paulista,es Valencia,5,5,450,5.0,0,2018-2019,UEFA
Milan Pavkov,rs Red Star,4,2,216,2.4,2,2018-2019,UEFA
Lorenzo Pellegrini,it Roma,6,4,391,4.3,1,2018-2019,UEFA
Luca Pellegrini,it Roma,2,0,27,0.3,0,2018-2019,UEFA
Pepe,pt Porto,3,3,300,3.3,0,2018-2019,UEFA
André Pereira,pt Porto,4,0,66,0.7,0,2018-2019,UEFA
Andreas Pereira,eng Manchester Utd,4,2,191,2.1,0,2018-2019,UEFA
Danilo Pereira,pt Porto,10,10,930,10.3,0,2018-2019,UEFA
Maxi Pereira,pt Porto,8,7,634,7.0,0,2018-2019,UEFA
Gastón Pereiro,nl PSV Eindhoven,6,5,389,4.3,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Luan Peres Petroni,be Club Brugge,1,0,22,0.2,0,2018-2019,UEFA
Ivan Periši?,it Inter,6,6,499,5.5,0,2018-2019,UEFA
Lud?k Pernica,cz Viktoria Plze?,1,1,90,1.0,0,2018-2019,UEFA
Diego Perotti,it Roma,2,1,149,1.7,0,2018-2019,UEFA
Milan Petržela,cz Viktoria Plze?,4,2,227,2.5,0,2018-2019,UEFA
Maximilian Philipp,de Dortmund,2,1,85,0.9,0,2018-2019,UEFA
Cristiano Piccini,es Valencia,3,3,270,3.0,0,2018-2019,UEFA
Gerard Piqué,es Barcelona,11,11,990,11.0,2,2018-2019,UEFA
?ukasz Piszczek,de Dortmund,5,5,450,5.0,0,2018-2019,UEFA
Pizzi,pt Benfica,6,5,319,3.5,0,2018-2019,UEFA
Miralem Pjani?,it Juventus,10,10,809,9.0,2,2018-2019,UEFA
Paul Pogba,eng Manchester Utd,9,8,728,8.1,2,2018-2019,UEFA
Matteo Politano,it Inter,6,5,449,5.0,0,2018-2019,UEFA
Ilya Pomazun,ru CSKA Moscow,1,1,90,1.0,0,2018-2019,UEFA
Ezequiel Ponce,gr AEK Athens,6,6,489,5.4,0,2018-2019,UEFA
Stefan Posch,de Hoffenheim,2,2,180,2.0,0,2018-2019,UEFA
Benoît Poulain,be Club Brugge,6,6,540,6.0,0,2018-2019,UEFA
Roman Procházka,cz Viktoria Plze?,5,5,424,4.7,1,2018-2019,UEFA
Christian Pulisic,de Dortmund,7,5,453,5.0,1,2018-2019,UEFA
Andriy Pyatov,ua Shakhtar,6,6,540,6.0,0,2018-2019,UEFA
Adrien Rabiot,fr Paris S-G,5,3,284,3.2,0,2018-2019,UEFA
Rafael,fr Lyon,3,3,238,2.6,0,2018-2019,UEFA
Rafinha,de Bayern Munich,6,4,368,4.1,0,2018-2019,UEFA
Rafinha,es Barcelona,2,1,79,0.9,1,2018-2019,UEFA
Andrea Raggi,fr Monaco,4,4,360,4.0,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Baba Rahman,de Schalke 04,1,0,75,0.8,0,2018-2019,UEFA
Ivan Rakiti?,es Barcelona,12,12,"1,018",11.3,1,2018-2019,UEFA
Yaroslav Rakitskiy,ua Shakhtar,4,4,360,4.0,0,2018-2019,UEFA
Sergio Ramos,es Real Madrid,5,5,418,4.6,0,2018-2019,UEFA
Marcus Rashford,eng Manchester Utd,10,8,722,8.0,2,2018-2019,UEFA
Sergio Reguilón,es Real Madrid,4,4,360,4.0,0,2018-2019,UEFA
Marco Reus,de Dortmund,6,6,523,5.8,1,2018-2019,UEFA
Kaveh Rezaei,be Club Brugge,2,1,97,1.1,0,2018-2019,UEFA
Jakub ?ezní?ek,cz Viktoria Plze?,6,0,61,0.7,0,2018-2019,UEFA
Radim ?ezník,cz Viktoria Plze?,5,5,450,5.0,0,2018-2019,UEFA
Franck Ribéry,de Bayern Munich,7,6,434,4.8,1,2018-2019,UEFA
Mats Rits,be Club Brugge,5,3,270,3.0,0,2018-2019,UEFA
Arjen Robben,de Bayern Munich,4,4,312,3.5,2,2018-2019,UEFA
Sergi Roberto,es Barcelona,9,8,706,7.8,0,2018-2019,UEFA
Andrew Robertson,eng Liverpool,12,12,"1,006",11.2,0,2018-2019,UEFA
Milan Rodi?,rs Red Star,5,5,450,5.0,0,2018-2019,UEFA
Rodri,es Atlético Madrid,8,6,607,6.7,0,2018-2019,UEFA
Rodrigo,es Valencia,6,5,428,4.8,0,2018-2019,UEFA
Garry Rodrigues,tr Galatasaray,6,6,511,5.7,1,2018-2019,UEFA
James Rodríguez,de Bayern Munich,5,4,333,3.7,0,2018-2019,UEFA
Marko Rog,it Napoli,2,0,10,0.1,0,2018-2019,UEFA
Marcos Rojo,eng Manchester Utd,1,1,45,0.5,0,2018-2019,UEFA
Maximiliano Romero,nl PSV Eindhoven,1,0,12,0.1,0,2018-2019,UEFA
Sergio Romero,eng Manchester Utd,1,1,90,1.0,0,2018-2019,UEFA
Cristiano Ronaldo,it Juventus,9,9,748,8.3,6,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Pablo Rosario,nl PSV Eindhoven,6,6,531,5.9,1,2018-2019,UEFA
Danny Rose,eng Tottenham,8,6,527,5.9,0,2018-2019,UEFA
Boris Rotenberg,ru Loko Moscow,1,0,1,0.0,0,2018-2019,UEFA
Sebastian Rudy,de Schalke 04,4,3,239,2.7,0,2018-2019,UEFA
Daniele Rugani,it Juventus,4,3,272,3.0,0,2018-2019,UEFA
Mário Rui,it Napoli,6,6,519,5.8,0,2018-2019,UEFA
Fabián Ruiz Peña,it Napoli,6,6,468,5.2,0,2018-2019,UEFA
Maciej Rybus,ru Loko Moscow,2,2,180,2.0,0,2018-2019,UEFA
Michal Sadílek,nl PSV Eindhoven,1,0,26,0.3,0,2018-2019,UEFA
Trent Sainsbury,nl PSV Eindhoven,2,1,100,1.1,0,2018-2019,UEFA
Mohamed Salah,eng Liverpool,12,12,"1,056",11.7,5,2018-2019,UEFA
Eduardo Salvio,pt Benfica,4,4,242,2.7,0,2018-2019,UEFA
Renato Sanches,de Bayern Munich,6,1,130,1.4,1,2018-2019,UEFA
Alexis Sánchez,eng Manchester Utd,4,2,210,2.3,0,2018-2019,UEFA
Davinson Sánchez,eng Tottenham,8,7,631,7.0,0,2018-2019,UEFA
Javi Sánchez,es Real Madrid,2,1,122,1.4,0,2018-2019,UEFA
Jadon Sancho,de Dortmund,7,5,436,4.8,1,2018-2019,UEFA
Alex Sandro,it Juventus,9,8,743,8.3,0,2018-2019,UEFA
Leroy Sané,eng Manchester City,8,4,398,4.4,4,2018-2019,UEFA
Salif Sané,de Schalke 04,6,6,540,6.0,0,2018-2019,UEFA
Sékou Sanogo,ch Young Boys,4,4,301,3.3,0,2018-2019,UEFA
Davide Santon,it Roma,4,3,258,2.9,0,2018-2019,UEFA
Stefan Savi?,es Atlético Madrid,1,1,81,0.9,0,2018-2019,UEFA
Vujadin Savi?,rs Red Star,3,3,225,2.5,0,2018-2019,UEFA
Patrik Schick,it Roma,6,2,254,2.8,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Thorsten Schick,ch Young Boys,2,1,96,1.1,0,2018-2019,UEFA
Marcel Schmelzer,de Dortmund,3,2,194,2.2,0,2018-2019,UEFA
Lasse Schöne,nl Ajax,11,11,881,9.8,1,2018-2019,UEFA
Alessandro Schöpf,de Schalke 04,4,3,299,3.3,1,2018-2019,UEFA
Siebe Schrijvers,be Club Brugge,2,1,72,0.8,0,2018-2019,UEFA
Nico Schulz,de Hoffenheim,5,5,444,4.9,0,2018-2019,UEFA
Daniel Schwaab,nl PSV Eindhoven,5,5,450,5.0,0,2018-2019,UEFA
Haris Seferovi?,pt Benfica,6,4,428,4.8,1,2018-2019,UEFA
Alfa Semedo,pt Benfica,3,1,134,1.5,1,2018-2019,UEFA
Nélson Semedo,es Barcelona,10,5,559,6.2,0,2018-2019,UEFA
Suat Serdar,de Schalke 04,7,5,503,5.6,0,2018-2019,UEFA
Julien Serrano,fr Monaco,1,0,13,0.1,0,2018-2019,UEFA
Stephan El Shaarawy,it Roma,4,4,261,2.9,0,2018-2019,UEFA
Xherdan Shaqiri,eng Liverpool,4,2,176,2.0,0,2018-2019,UEFA
Luke Shaw,eng Manchester Utd,8,8,720,8.0,0,2018-2019,UEFA
Georgi Shchennikov,ru CSKA Moscow,3,2,214,2.4,1,2018-2019,UEFA
Djibril Sidibé,fr Monaco,4,4,333,3.7,0,2018-2019,UEFA
Arnór Sigurðsson,ru CSKA Moscow,6,4,355,3.9,2,2018-2019,UEFA
Bernardo Silva,eng Manchester City,8,6,579,6.4,4,2018-2019,UEFA
David Silva,eng Manchester City,9,9,714,7.9,3,2018-2019,UEFA
Rafa Silva,pt Benfica,6,4,368,4.1,0,2018-2019,UEFA
Thiago Silva,fr Paris S-G,7,7,615,6.8,0,2018-2019,UEFA
Veljko Simi?,rs Red Star,5,3,207,2.3,0,2018-2019,UEFA
André Simões,gr AEK Athens,4,4,348,3.9,0,2018-2019,UEFA
Daley Sinkgraven,nl Ajax,2,0,95,1.1,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Moussa Sissoko,eng Tottenham,10,8,729,8.1,0,2018-2019,UEFA
Milan Škriniar,it Inter,6,6,540,6.0,0,2018-2019,UEFA
Steven Skrzybski,de Schalke 04,4,1,95,1.1,0,2018-2019,UEFA
Chris Smalling,eng Manchester Utd,8,8,720,8.0,0,2018-2019,UEFA
Fyodor Smolov,ru Loko Moscow,3,1,118,1.3,0,2018-2019,UEFA
Tiquinho Soares,pt Porto,4,3,273,3.0,1,2018-2019,UEFA
Carlos Soler,es Valencia,6,4,392,4.4,2,2018-2019,UEFA
Djibril Sow,ch Young Boys,6,6,507,5.6,0,2018-2019,UEFA
Leonardo Spinazzola,it Juventus,1,1,66,0.7,0,2018-2019,UEFA
Slavoljub Srni?,rs Red Star,3,3,243,2.7,0,2018-2019,UEFA
Benjamin Stambouli,de Schalke 04,5,5,430,4.8,0,2018-2019,UEFA
Taras Stepanenko,ua Shakhtar,6,6,526,5.8,0,2018-2019,UEFA
Raheem Sterling,eng Manchester City,10,10,869,9.7,5,2018-2019,UEFA
Nikola Stojiljkovi?,rs Red Star,1,1,45,0.5,0,2018-2019,UEFA
Filip Stojkovi?,rs Red Star,5,5,418,4.6,0,2018-2019,UEFA
John Stones,eng Manchester City,6,5,421,4.7,0,2018-2019,UEFA
Daniel Sturridge,eng Liverpool,7,2,211,2.3,1,2018-2019,UEFA
Denis Suárez,es Barcelona,2,0,26,0.3,0,2018-2019,UEFA
Luis Suárez,es Barcelona,10,10,899,10.0,1,2018-2019,UEFA
Danijel Subaši?,fr Monaco,1,0,46,0.5,0,2018-2019,UEFA
Niklas Süle,de Bayern Munich,6,5,451,5.0,0,2018-2019,UEFA
Miralem Sulejmani,ch Young Boys,5,4,342,3.8,0,2018-2019,UEFA
Moussa Sylla,fr Monaco,6,4,344,3.8,1,2018-2019,UEFA
Ádám Szalai,de Hoffenheim,5,4,269,3.0,0,2018-2019,UEFA
Wojciech Szcz?sny,it Juventus,10,10,900,10.0,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Dušan Tadi?,nl Ajax,12,12,"1,080",12.0,6,2018-2019,UEFA
Nicolás Tagliafico,nl Ajax,10,10,900,10.0,3,2018-2019,UEFA
Taison,ua Shakhtar,5,5,436,4.8,2,2018-2019,UEFA
Alex Telles,pt Porto,10,10,930,10.3,1,2018-2019,UEFA
Marc-André ter Stegen,es Barcelona,11,11,990,11.0,0,2018-2019,UEFA
Martin Terrier,fr Lyon,3,2,158,1.8,0,2018-2019,UEFA
Kenny Tete,fr Lyon,3,2,197,2.2,0,2018-2019,UEFA
Cedric Teuchert,de Schalke 04,2,1,83,0.9,0,2018-2019,UEFA
Khéphren Thuram,fr Monaco,2,0,50,0.6,0,2018-2019,UEFA
Youri Tielemans,fr Monaco,6,6,540,6.0,0,2018-2019,UEFA
Ömer Toprak,de Dortmund,3,3,270,3.0,0,2018-2019,UEFA
Ferrán Torres,es Valencia,3,1,106,1.2,0,2018-2019,UEFA
Óliver Torres,pt Porto,5,4,349,3.9,0,2018-2019,UEFA
Almamy Touré,fr Monaco,1,0,15,0.2,0,2018-2019,UEFA
Lucas Tousart,fr Lyon,7,5,484,5.4,1,2018-2019,UEFA
Adama Traoré,fr Monaco,1,0,22,0.2,0,2018-2019,UEFA
Bertrand Traoré,fr Lyon,8,4,320,3.6,1,2018-2019,UEFA
Kieran Trippier,eng Tottenham,8,7,625,6.9,0,2018-2019,UEFA
Samuel Umtiti,es Barcelona,1,1,78,0.9,0,2018-2019,UEFA
Cengiz Ünder,it Roma,6,5,436,4.8,3,2018-2019,UEFA
Mark Uth,de Schalke 04,5,5,392,4.4,1,2018-2019,UEFA
Antonio Valencia,eng Manchester Utd,3,3,251,2.8,0,2018-2019,UEFA
Borja Valero,it Inter,6,2,234,2.6,0,2018-2019,UEFA
Jesús Vallejo,es Real Madrid,1,1,90,1.0,0,2018-2019,UEFA
Federico Valverde,es Real Madrid,4,1,142,1.6,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Virgil van Dijk,eng Liverpool,12,12,"1,080",12.0,2,2018-2019,UEFA
Hans Vanaken,be Club Brugge,6,6,539,6.0,2,2018-2019,UEFA
Raphaël Varane,es Real Madrid,4,4,360,4.0,0,2018-2019,UEFA
Lucas Vázquez,es Real Madrid,6,5,385,4.3,1,2018-2019,UEFA
Matías Vecino,it Inter,5,5,450,5.0,1,2018-2019,UEFA
Joël Veltman,nl Ajax,5,3,312,3.5,0,2018-2019,UEFA
Simone Verdi,it Napoli,1,0,23,0.3,0,2018-2019,UEFA
Thomas Vermaelen,es Barcelona,2,1,91,1.0,0,2018-2019,UEFA
Marco Verratti,fr Paris S-G,7,7,598,6.6,0,2018-2019,UEFA
Jan Vertonghen,eng Tottenham,10,10,848,9.4,1,2018-2019,UEFA
Rúben Vezo,es Valencia,3,2,150,1.7,0,2018-2019,UEFA
Arturo Vidal,es Barcelona,11,3,363,4.0,0,2018-2019,UEFA
Nick Viergever,nl PSV Eindhoven,6,6,515,5.7,0,2018-2019,UEFA
Vitolo,es Atlético Madrid,4,0,99,1.1,0,2018-2019,UEFA
Odisseas Vlachodimos,pt Benfica,6,6,540,6.0,0,2018-2019,UEFA
Nikola Vlaši?,ru CSKA Moscow,6,6,540,6.0,3,2018-2019,UEFA
Thibault Vlietinck,be Club Brugge,4,3,206,2.3,0,2018-2019,UEFA
Kevin Vogt,de Hoffenheim,4,4,360,4.0,0,2018-2019,UEFA
Michel Vorm,eng Tottenham,2,1,100,1.1,0,2018-2019,UEFA
Ruud Vormer,be Club Brugge,6,6,539,6.0,1,2018-2019,UEFA
Jelle Vossen,be Club Brugge,1,1,81,0.9,0,2018-2019,UEFA
Stefan de Vrij,it Inter,5,5,441,4.9,0,2018-2019,UEFA
Šime Vrsaljko,it Inter,2,1,98,1.1,0,2018-2019,UEFA
Sandro Wagner,de Bayern Munich,3,0,22,0.2,0,2018-2019,UEFA
Kyle Walker,eng Manchester City,10,8,746,8.3,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Kyle Walker-Peters,eng Tottenham,1,1,60,0.7,0,2018-2019,UEFA
Victor Wanyama,eng Tottenham,6,4,292,3.2,0,2018-2019,UEFA
Daniel Wass,es Valencia,3,3,270,3.0,0,2018-2019,UEFA
Julian Weigl,de Dortmund,4,3,289,3.2,0,2018-2019,UEFA
Georginio Wijnaldum,eng Liverpool,12,11,968,10.8,2,2018-2019,UEFA
Harry Winks,eng Tottenham,10,8,673,7.5,0,2018-2019,UEFA
Dani de Wit,nl Ajax,2,0,34,0.4,0,2018-2019,UEFA
Axel Witsel,de Dortmund,7,7,629,7.0,1,2018-2019,UEFA
Maximilian Wöber,nl Ajax,4,3,251,2.8,0,2018-2019,UEFA
Marius Wolf,de Dortmund,4,3,211,2.3,0,2018-2019,UEFA
Marco Wölfli,ch Young Boys,2,2,180,2.0,0,2018-2019,UEFA
Jeong Woo-yeong,de Bayern Munich,1,0,10,0.1,0,2018-2019,UEFA
Gregory Wüthrich,ch Young Boys,1,0,1,0.0,0,2018-2019,UEFA
Dmitry Yefremov,ru CSKA Moscow,3,1,116,1.3,0,2018-2019,UEFA
Ashley Young,eng Manchester Utd,7,6,581,6.5,0,2018-2019,UEFA
Dan-Axel Zagadou,de Dortmund,4,4,346,3.8,0,2018-2019,UEFA
Nicolò Zaniolo,it Roma,7,4,385,4.3,2,2018-2019,UEFA
Martin Zeman,cz Viktoria Plze?,1,1,70,0.8,0,2018-2019,UEFA
Timur Zhamaletdinov,ru CSKA Moscow,2,0,28,0.3,0,2018-2019,UEFA
Rifat Zhemaletdinov,ru Loko Moscow,2,0,33,0.4,0,2018-2019,UEFA
Piotr Zieli?ski,it Napoli,6,1,185,2.1,0,2018-2019,UEFA
Oleksandr Zinchenko,eng Manchester City,5,4,337,3.7,0,2018-2019,UEFA
Andrija Živkovi?,pt Benfica,2,0,72,0.8,0,2018-2019,UEFA
Hakim Ziyech,nl Ajax,11,11,983,10.9,3,2018-2019,UEFA
Jeroen Zoet,nl PSV Eindhoven,6,6,540,6.0,0,2018-2019,UEFA
,,,,,,,2018-2019,UEFA
Steven Zuber,de Hoffenheim,3,1,103,1.1,1,2018-2019,UEFA
Tammy Abraham,eng Chelsea,8,7,566,6.3,3,2019-2020,UEFA
Tyler Adams,de RB Leipzig,3,0,82,0.9,1,2019-2020,UEFA
Arijan Ademi,hr Dinamo Zagreb,6,6,517,5.7,1,2019-2020,UEFA
Adrián,eng Liverpool,3,3,300,3.3,0,2019-2020,UEFA
Sergio Agüero,eng Manchester City,3,2,196,2.2,2,2019-2020,UEFA
Manuel Akanji,de Dortmund,6,6,523,5.8,0,2019-2020,UEFA
David Alaba,de Bayern Munich,8,8,675,7.5,0,2019-2020,UEFA
Lucas Alario,de Leverkusen,5,2,214,2.4,0,2019-2020,UEFA
Jordi Alba,es Barcelona,5,5,354,3.9,0,2019-2020,UEFA
Paco Alcácer,de Dortmund,2,1,113,1.3,0,2019-2020,UEFA
Thiago Alcántara,de Bayern Munich,10,9,819,9.1,0,2019-2020,UEFA
Toby Alderweireld,eng Tottenham,6,6,540,6.0,0,2019-2020,UEFA
Carles Aleñá,es Barcelona,1,1,90,1.0,0,2019-2020,UEFA
Trent Alexander-Arnold,eng Liverpool,7,6,583,6.5,0,2019-2020,UEFA
Alisson,eng Liverpool,5,5,450,5.0,0,2019-2020,UEFA
Allan,it Napoli,6,5,445,4.9,0,2019-2020,UEFA
Dele Alli,eng Tottenham,7,7,516,5.7,1,2019-2020,UEFA
André Almeida,pt Benfica,1,1,90,1.0,0,2019-2020,UEFA
Marcos Alonso,eng Chelsea,5,5,397,4.4,0,2019-2020,UEFA
Éder Álvarez Balanta,be Club Brugge,5,3,286,3.2,0,2019-2020,UEFA
Edson Álvarez,nl Ajax,6,4,377,4.2,1,2019-2020,UEFA
Nadiem Amiri,de Leverkusen,4,2,238,2.6,0,2019-2020,UEFA
Ethan Ampadu,de RB Leipzig,3,2,181,2.0,0,2019-2020,UEFA
Joachim Andersen,fr Lyon,6,4,392,4.4,1,2019-2020,UEFA
Florin Andone,tr Galatasaray,3,2,162,1.8,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Benjamin André,fr Lille,5,5,403,4.5,0,2019-2020,UEFA
Miguel Ángel Guerrero,gr Olympiacos,6,3,316,3.5,0,2019-2020,UEFA
Angeliño,de RB Leipzig,4,4,360,4.0,0,2019-2020,UEFA
Angeliño,eng Manchester City,1,1,90,1.0,0,2019-2020,UEFA
Marcos Antônio,ua Shakhtar,3,0,28,0.3,0,2019-2020,UEFA
Houssem Aouar,fr Lyon,8,8,711,7.9,1,2019-2020,UEFA
Youssef El-Arabi,gr Olympiacos,6,3,278,3.1,3,2019-2020,UEFA
Charles Aránguiz,de Leverkusen,5,5,413,4.6,0,2019-2020,UEFA
Luiz Araújo,fr Lille,6,3,277,3.1,0,2019-2020,UEFA
Alphonse Areola,es Real Madrid,2,1,135,1.5,0,2019-2020,UEFA
Santiago Arias,es Atlético Madrid,2,2,180,2.0,0,2019-2020,UEFA
Kepa Arrizabalaga,eng Chelsea,6,6,540,6.0,0,2019-2020,UEFA
Kwadwo Asamoah,it Inter,3,3,259,2.9,0,2019-2020,UEFA
Marco Asensio,es Real Madrid,1,0,30,0.3,0,2019-2020,UEFA
Majeed Ashimeru,at RB Salzburg,4,0,67,0.7,0,2019-2020,UEFA
Iyayi Atiemwen,hr Dinamo Zagreb,1,0,7,0.1,0,2019-2020,UEFA
Serge Aurier,eng Tottenham,5,5,449,5.0,1,2019-2020,UEFA
Sardar Azmoun,ru Zenit,6,6,462,5.1,2,2019-2020,UEFA
César Azpilicueta,eng Chelsea,7,7,612,6.8,2,2019-2020,UEFA
Ryan Babel,tr Galatasaray,4,4,333,3.7,0,2019-2020,UEFA
Leon Bailey,de Leverkusen,3,2,115,1.3,0,2019-2020,UEFA
Gareth Bale,es Real Madrid,3,1,116,1.3,0,2019-2020,UEFA
Leonardo Balerdi,de Dortmund,1,0,8,0.1,0,2019-2020,UEFA
Jonathan Bamba,fr Lille,6,3,282,3.1,0,2019-2020,UEFA
Nicolò Barella,it Inter,4,3,290,3.2,1,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Dmitri Barinov,ru Loko Moscow,5,5,450,5.0,1,2019-2020,UEFA
Ross Barkley,eng Chelsea,3,2,161,1.8,0,2019-2020,UEFA
Wílmar Barrios,ru Zenit,6,6,540,6.0,0,2019-2020,UEFA
Musa Barrow,it Atalanta,1,0,3,0.0,0,2019-2020,UEFA
Michy Batshuayi,eng Chelsea,4,0,88,1.0,1,2019-2020,UEFA
Julian Baumgartlinger,de Leverkusen,6,3,346,3.8,0,2019-2020,UEFA
Ömer Bayram,tr Galatasaray,5,2,252,2.8,0,2019-2020,UEFA
Donny van de Beek,nl Ajax,5,5,447,5.0,2,2019-2020,UEFA
Younès Belhanda,tr Galatasaray,4,4,303,3.4,0,2019-2020,UEFA
Karim Bellarabi,de Leverkusen,5,5,411,4.6,0,2019-2020,UEFA
Lars Bender,de Leverkusen,4,3,271,3.0,0,2019-2020,UEFA
Sven Bender,de Leverkusen,6,6,539,6.0,1,2019-2020,UEFA
Rodrigo Bentancur,it Juventus,7,4,421,4.7,0,2019-2020,UEFA
Karim Benzema,es Real Madrid,8,7,644,7.2,5,2019-2020,UEFA
Yassine Benzia,gr Olympiacos,3,1,79,0.9,0,2019-2020,UEFA
Sander Berge,be Genk,6,6,540,6.0,0,2019-2020,UEFA
Steven Bergwijn,eng Tottenham,1,1,90,1.0,0,2019-2020,UEFA
Federico Bernardeschi,it Juventus,6,3,263,2.9,1,2019-2020,UEFA
Juan Bernat,fr Paris S-G,10,10,873,9.7,2,2019-2020,UEFA
Antoine Bernede,at RB Salzburg,1,1,90,1.0,0,2019-2020,UEFA
Cristiano Biraghi,it Inter,4,3,219,2.4,0,2019-2020,UEFA
Daley Blind,nl Ajax,5,5,427,4.7,0,2019-2020,UEFA
Richmond Boakye,rs Red Star,5,1,190,2.1,1,2019-2020,UEFA
Jérôme Boateng,de Bayern Munich,9,8,579,6.4,0,2019-2020,UEFA
Serhiy Bolbat,ua Shakhtar,3,3,244,2.7,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Theo Bongonda,be Genk,6,2,258,2.9,0,2019-2020,UEFA
Leonardo Bonucci,it Juventus,7,7,630,7.0,0,2019-2020,UEFA
Neto Borges,be Genk,1,0,9,0.1,0,2019-2020,UEFA
Jan Bo?il,cz Slavia Prague,6,6,540,6.0,1,2019-2020,UEFA
Milan Borjan,rs Red Star,6,6,540,6.0,0,2019-2020,UEFA
Andreas Bouchalakis,gr Olympiacos,6,6,481,5.3,0,2019-2020,UEFA
Domagoj Bradari?,fr Lille,3,3,270,3.0,0,2019-2020,UEFA
Julian Brandt,de Dortmund,7,5,490,5.4,2,2019-2020,UEFA
Claudio Bravo,eng Manchester City,2,1,125,1.4,0,2019-2020,UEFA
Marcelo Brozovi?,it Inter,6,6,520,5.8,0,2019-2020,UEFA
Jacob Bruun Larsen,de Dortmund,2,0,21,0.2,0,2019-2020,UEFA
Gianluigi Buffon,it Juventus,1,1,90,1.0,0,2019-2020,UEFA
Mick van Buren,cz Slavia Prague,2,0,47,0.5,0,2019-2020,UEFA
Roman Bürki,de Dortmund,8,8,720,8.0,0,2019-2020,UEFA
Sergio Busquets,es Barcelona,7,7,504,5.6,0,2019-2020,UEFA
Adem Büyük,tr Galatasaray,2,1,93,1.0,1,2019-2020,UEFA
Willy Caballero,eng Chelsea,2,2,180,2.0,0,2019-2020,UEFA
Mattia Caldara,it Atalanta,3,3,254,2.8,0,2019-2020,UEFA
José Callejón,it Napoli,7,7,569,6.3,0,2019-2020,UEFA
Mohamed Camara,gr Olympiacos,5,5,415,4.6,0,2019-2020,UEFA
Emre Can,de Dortmund,2,2,178,2.0,0,2019-2020,UEFA
José Cañas,rs Red Star,5,4,312,3.5,0,2019-2020,UEFA
João Cancelo,eng Manchester City,8,6,570,6.3,0,2019-2020,UEFA
Antonio Candreva,it Inter,5,5,388,4.3,1,2019-2020,UEFA
Maxence Caqueret,fr Lyon,3,3,270,3.0,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Yannick Carrasco,es Atlético Madrid,1,1,90,1.0,0,2019-2020,UEFA
Dani Carvajal,es Real Madrid,7,7,622,6.9,0,2019-2020,UEFA
Casemiro,es Real Madrid,8,8,689,7.7,1,2019-2020,UEFA
Timothy Castagne,it Atalanta,6,4,394,4.4,1,2019-2020,UEFA
Edinson Cavani,fr Paris S-G,3,1,132,1.5,1,2019-2020,UEFA
Zeki Çelik,fr Lille,6,6,540,6.0,0,2019-2020,UEFA
Murilo Cerqueira,ru Loko Moscow,5,4,370,4.1,0,2019-2020,UEFA
Franco Cervi,pt Benfica,5,5,393,4.4,1,2019-2020,UEFA
Leonardo César Jardim,fr Lille,1,0,19,0.2,0,2019-2020,UEFA
Rayan Cherki,fr Lyon,2,0,34,0.4,0,2019-2020,UEFA
Denis Cheryshev,es Valencia,6,3,263,2.9,2,2019-2020,UEFA
Chiquinho,pt Benfica,3,3,270,3.0,0,2019-2020,UEFA
Andreas Christensen,eng Chelsea,4,4,360,4.0,0,2019-2020,UEFA
Jasper Cillessen,es Valencia,6,6,540,6.0,0,2019-2020,UEFA
Kingsley Coman,de Bayern Munich,9,7,549,6.1,3,2019-2020,UEFA
Dion Cools,be Club Brugge,1,0,4,0.0,0,2019-2020,UEFA
